"","gen_id","plant_id","id","segment","cut","zoom","repetition","value","name","type","gtype"
"1","A","A06",1,"S1","C01","Z04","02","1626.954","Xylem","area","w"
"2","A","A06",1,"S1","C01","Z04","02","2936.805","Xylem","area","w"
"3","A","A06",1,"S1","C01","Z04","02","2122.427","Xylem","area","w"
"4","A","A06",1,"S1","C01","Z04","02","1039.593","Xylem","area","w"
"5","A","A06",1,"S1","C01","Z04","02","1834.152","Xylem","area","w"
"6","A","A06",1,"S1","C01","Z04","02","929.688","Xylem","area","w"
"7","A","A06",1,"S1","C01","Z04","02","1383.721","Xylem","area","w"
"8","A","A06",1,"S1","C01","Z04","02","2862.934","Xylem","area","w"
"9","A","A06",1,"S1","C01","Z04","02","1670.195","Xylem","area","w"
"10","A","A06",1,"S1","C01","Z04","02","3167.425","Xylem","area","w"
"11","A","A06",1,"S1","C01","Z04","02","920.679","Xylem","area","w"
"12","A","A06",1,"S1","C01","Z04","02","945.903","Xylem","area","w"
"13","A","A06",1,"S1","C01","Z04","02","2482.771","Xylem","area","w"
"14","A","A06",1,"S1","C01","Z04","02","1785.505","Xylem","area","w"
"15","A","A06",1,"S1","C01","Z04","02","1216.161","Xylem","area","w"
"16","A","A06",1,"S1","C01","Z04","02","1657.583","Xylem","area","w"
"17","A","A06",1,"S1","C01","Z04","02","1969.281","Xylem","area","w"
"18","A","A06",1,"S1","C01","Z04","02","1699.023","Xylem","area","w"
"19","A","A06",1,"S1","C01","Z04","02","612.585","Xylem","area","w"
"20","A","A06",1,"S1","C01","Z04","02","445.025","Xylem","area","w"
"21","A","A06",1,"S1","C01","Z04","02","989.145","Xylem","area","w"
"22","A","A06",1,"S1","C01","Z04","02","493.671","Xylem","area","w"
"23","A","A06",1,"S1","C01","Z04","02","562.137","Xylem","area","w"
"24","A","A06",1,"S1","C01","Z04","02","473.853","Xylem","area","w"
"25","A","A06",1,"S1","C01","Z04","02","1781.902","Xylem","area","w"
"26","A","A06",1,"S1","C01","Z04","02","1408.946","Xylem","area","w"
"27","A","A06",1,"S1","C01","Z04","02","1762.083","Xylem","area","w"
"28","A","A06",1,"S1","C01","Z04","02","1369.308","Xylem","area","w"
"29","A","A06",1,"S1","C01","Z04","02","2277.375","Xylem","area","w"
"30","A","A06",1,"S1","C01","Z04","02","1225.17","Xylem","area","w"
"31","A","A06",1,"S1","C01","Z04","02","682.852","Xylem","area","w"
"32","A","A06",1,"S1","C01","Z04","02","1753.074","Xylem","area","w"
"33","A","A06",1,"S1","C01","Z04","02","1322.463","Xylem","area","w"
"34","A","A06",1,"S1","C01","Z04","02","843.205","Xylem","area","w"
"35","A","A06",1,"S1","C01","Z04","02","1630.557","Xylem","area","w"
"36","A","A06",1,"S1","C01","Z04","02","1985.496","Xylem","area","w"
"37","A","A06",1,"S1","C01","Z04","02","2070.177","Xylem","area","w"
"38","A","A06",1,"S1","C01","Z04","02","1187.334","Xylem","area","w"
"39","A","A06",1,"S1","C01","Z04","02","1026.981","Xylem","area","w"
"40","A","A06",1,"S1","C01","Z04","02","1599.928","Xylem","area","w"
"41","A","A06",1,"S1","C01","Z04","02","650.421","Xylem","area","w"
"42","A","A06",1,"S1","C01","Z04","02","581.956","Xylem","area","w"
"43","A","A06",1,"S1","C01","Z04","02","1172.92","Xylem","area","w"
"44","A","A06",1,"S1","C01","Z04","02","876.505","Xylem","XM","w"
"45","A","A06",1,"S1","C01","Z04","02","988.999","Xylem","XM","w"
"46","A","A06",1,"S1","C01","Z04","02","1060.143","Xylem","XM","w"
"47","A","A06",1,"S1","C01","Z04","02","806.308","Xylem","XM","w"
"48","A","A06",1,"S1","C01","Z04","02","923.678","Xylem","XM","w"
"49","A","A06",1,"S1","C01","Z04","02","1077.846","Xylem","XM","w"
"50","A","A06",1,"S1","C01","Z04","02","831.181","Xylem","XM","w"
"51","A","A06",1,"S1","C01","Z04","02","884.384","Xylem","XM","w"
"52","A","A06",1,"S1","C01","Z04","02","901.212","Xylem","XM","w"
"53","A","A06",1,"S1","C01","Z04","02","1087.185","Xylem","XM","w"
"54","A","A06",1,"S1","C01","Z04","02","1150.468","Xylem","XM","w"
"55","A","A06",1,"S1","C01","Z04","02","1200.582","Xylem","XM","w"
"56","A","A06",1,"S1","C01","Z04","02","1285.996","Xylem","XM","w"
"57","A","A06",1,"S1","C01","Z04","02","1534.167","Xylem","XM","w"
"58","A","A06",1,"S1","C01","Z04","02","1537.988","Xylem","XM","w"
"59","A","A06",1,"S1","C01","Z04","02","1981.686","Xylem","XM","w"
"60","A","A06",1,"S1","C01","Z04","02","2121.992","Xylem","XM","w"
"61","A","A06",1,"S1","C01","Z04","02","1889.195","Xylem","XM","w"
"62","A","A06",1,"S1","C01","Z04","02","1894.445","Xylem","XM","w"
"63","A","A06",1,"S1","C01","Z04","02","1931.085","Xylem","XM","w"
"64","A","A06",1,"S1","C01","Z04","02","1732.781","Xylem","XM","w"
"65","A","A06",1,"S1","C01","Z04","02","1687.861","Xylem","XM","w"
"66","A","A06",1,"S1","C01","Z04","02","1772.308","Xylem","XM","w"
"67","A","A06",1,"S1","C01","Z04","02","1772.477","Xylem","XM","w"
"68","A","A06",1,"S1","C01","Z04","02","1824.948","Xylem","XM","w"
"69","A","A06",1,"S1","C01","Z04","02","2343.715","Xylem","XM","w"
"70","A","A06",1,"S1","C01","Z04","02","2271.466","Xylem","XM","w"
"71","A","A06",1,"S1","C01","Z04","02","2230.422","Xylem","XM","w"
"72","A","A06",1,"S1","C01","Z04","02","2180.196","Xylem","XM","w"
"73","A","A06",1,"S1","C01","Z04","02","2135.587","Xylem","XM","w"
"74","A","A06",1,"S1","C01","Z04","02","2235.153","Xylem","XM","w"
"75","A","A06",1,"S1","C01","Z04","02","1953.749","Xylem","XM","w"
"76","A","A06",1,"S1","C01","Z04","02","1800.29","Xylem","XM","w"
"77","A","A06",1,"S1","C01","Z04","02","1549.088","Xylem","XM","w"
"78","A","A06",1,"S1","C01","Z04","02","1372.421","Xylem","XM","w"
"79","A","A06",1,"S1","C01","Z04","02","1394.375","Xylem","XM","w"
"80","A","A06",1,"S1","C01","Z04","02","1248.448","Xylem","XM","w"
"81","A","A06",1,"S1","C01","Z04","02","1191.9","Xylem","XM","w"
"82","A","A06",1,"S1","C01","Z04","02","1227.734","Xylem","XM","w"
"83","A","A06",1,"S1","C01","Z04","02","1331.451","Xylem","XM","w"
"84","A","A06",1,"S1","C01","Z04","02","1404.253","Xylem","XM","w"
"85","A","A06",1,"S1","C01","Z04","02","1431.527","Xylem","XM","w"
"86","A","A06",1,"S1","C01","Z04","02","1437.596","Xylem","XM","w"
"87","A","A06",1,"S1","C01","Z04","02","343.941","Xylem","YM","w"
"88","A","A06",1,"S1","C01","Z04","02","502.167","Xylem","YM","w"
"89","A","A06",1,"S1","C01","Z04","02","390.539","Xylem","YM","w"
"90","A","A06",1,"S1","C01","Z04","02","538.893","Xylem","YM","w"
"91","A","A06",1,"S1","C01","Z04","02","650.324","Xylem","YM","w"
"92","A","A06",1,"S1","C01","Z04","02","526.743","Xylem","YM","w"
"93","A","A06",1,"S1","C01","Z04","02","694.058","Xylem","YM","w"
"94","A","A06",1,"S1","C01","Z04","02","769.599","Xylem","YM","w"
"95","A","A06",1,"S1","C01","Z04","02","844.688","Xylem","YM","w"
"96","A","A06",1,"S1","C01","Z04","02","644.656","Xylem","YM","w"
"97","A","A06",1,"S1","C01","Z04","02","631.219","Xylem","YM","w"
"98","A","A06",1,"S1","C01","Z04","02","626.34","Xylem","YM","w"
"99","A","A06",1,"S1","C01","Z04","02","651.391","Xylem","YM","w"
"100","A","A06",1,"S1","C01","Z04","02","177.102","Xylem","YM","w"
"101","A","A06",1,"S1","C01","Z04","02","140.956","Xylem","YM","w"
"102","A","A06",1,"S1","C01","Z04","02","356.399","Xylem","YM","w"
"103","A","A06",1,"S1","C01","Z04","02","408.43","Xylem","YM","w"
"104","A","A06",1,"S1","C01","Z04","02","457.718","Xylem","YM","w"
"105","A","A06",1,"S1","C01","Z04","02","502.804","Xylem","YM","w"
"106","A","A06",1,"S1","C01","Z04","02","486.845","Xylem","YM","w"
"107","A","A06",1,"S1","C01","Z04","02","652.727","Xylem","YM","w"
"108","A","A06",1,"S1","C01","Z04","02","677.502","Xylem","YM","w"
"109","A","A06",1,"S1","C01","Z04","02","649.559","Xylem","YM","w"
"110","A","A06",1,"S1","C01","Z04","02","673.749","Xylem","YM","w"
"111","A","A06",1,"S1","C01","Z04","02","638.47","Xylem","YM","w"
"112","A","A06",1,"S1","C01","Z04","02","981.787","Xylem","YM","w"
"113","A","A06",1,"S1","C01","Z04","02","1002.793","Xylem","YM","w"
"114","A","A06",1,"S1","C01","Z04","02","1073.465","Xylem","YM","w"
"115","A","A06",1,"S1","C01","Z04","02","1098.596","Xylem","YM","w"
"116","A","A06",1,"S1","C01","Z04","02","1137.398","Xylem","YM","w"
"117","A","A06",1,"S1","C01","Z04","02","1171.781","Xylem","YM","w"
"118","A","A06",1,"S1","C01","Z04","02","1171.789","Xylem","YM","w"
"119","A","A06",1,"S1","C01","Z04","02","1448.515","Xylem","YM","w"
"120","A","A06",1,"S1","C01","Z04","02","1605.649","Xylem","YM","w"
"121","A","A06",1,"S1","C01","Z04","02","1325.814","Xylem","YM","w"
"122","A","A06",1,"S1","C01","Z04","02","1276.364","Xylem","YM","w"
"123","A","A06",1,"S1","C01","Z04","02","1423.029","Xylem","YM","w"
"124","A","A06",1,"S1","C01","Z04","02","1497.289","Xylem","YM","w"
"125","A","A06",1,"S1","C01","Z04","02","1287.86","Xylem","YM","w"
"126","A","A06",1,"S1","C01","Z04","02","1099.366","Xylem","YM","w"
"127","A","A06",1,"S1","C01","Z04","02","1069.663","Xylem","YM","w"
"128","A","A06",1,"S1","C01","Z04","02","1049.828","Xylem","YM","w"
"129","A","A06",1,"S1","C01","Z04","02","1015.798","Xylem","YM","w"
"130","A","A06",1,"S1","C01","Z04","02","623.395","Parenchyma","area","w"
"131","A","A06",1,"S1","C01","Z04","02","735.102","Parenchyma","area","w"
"132","A","A06",1,"S1","C01","Z04","02","771.136","Parenchyma","area","w"
"133","A","A06",1,"S1","C01","Z04","02","598.171","Parenchyma","area","w"
"134","A","A06",1,"S1","C01","Z04","02","538.714","Parenchyma","area","w"
"135","A","A06",1,"S1","C01","Z04","02","589.163","Parenchyma","area","w"
"136","A","A06",1,"S1","C01","Z04","02","412.594","Parenchyma","area","w"
"137","A","A06",1,"S1","C01","Z04","02","288.275","Parenchyma","area","w"
"138","A","A06",1,"S1","C01","Z04","02","378.361","Parenchyma","area","w"
"139","A","A06",1,"S1","C01","Z04","02","477.456","Parenchyma","area","w"
"140","A","A06",1,"S1","C01","Z04","02","417.999","Parenchyma","area","w"
"141","A","A06",1,"S1","C01","Z04","02","266.655","Parenchyma","area","w"
"142","A","A06",1,"S1","C01","Z04","02","376.56","Parenchyma","area","w"
"143","A","A06",1,"S1","C01","Z04","02","405.387","Parenchyma","area","w"
"144","A","A06",1,"S1","C01","Z04","02","430.611","Parenchyma","area","w"
"145","A","A06",1,"S1","C01","Z04","02","554.93","Parenchyma","area","w"
"146","A","A06",1,"S1","C01","Z04","02","547.723","Parenchyma","area","w"
"147","A","A06",1,"S1","C01","Z04","02","659.43","Parenchyma","area","w"
"148","A","A06",1,"S1","C01","Z04","02","533.309","Parenchyma","area","w"
"149","A","A06",1,"S1","C01","Z04","02","646.818","Parenchyma","area","w"
"150","A","A06",1,"S1","C01","Z04","02","504.482","Parenchyma","area","w"
"151","A","A06",1,"S1","C01","Z04","02","491.87","Parenchyma","area","w"
"152","A","A06",1,"S1","C01","Z04","02","495.473","Parenchyma","area","w"
"153","A","A06",1,"S1","C01","Z04","02","488.266","Parenchyma","area","w"
"154","A","A06",1,"S1","C01","Z04","02","843.205","Parenchyma","area","w"
"155","A","A06",1,"S1","C01","Z04","02","726.093","Parenchyma","area","w"
"156","A","A06",1,"S1","C01","Z04","02","263.051","Parenchyma","area","w"
"157","A","A06",1,"S1","C01","Z04","02","335.12","Parenchyma","area","w"
"158","A","A06",1,"S1","C01","Z04","02","1784.278","Parenchyma","XM","w"
"159","A","A06",1,"S1","C01","Z04","02","1798.549","Parenchyma","XM","w"
"160","A","A06",1,"S1","C01","Z04","02","1815.306","Parenchyma","XM","w"
"161","A","A06",1,"S1","C01","Z04","02","1829.488","Parenchyma","XM","w"
"162","A","A06",1,"S1","C01","Z04","02","1842.084","Parenchyma","XM","w"
"163","A","A06",1,"S1","C01","Z04","02","1853.932","Parenchyma","XM","w"
"164","A","A06",1,"S1","C01","Z04","02","1861.162","Parenchyma","XM","w"
"165","A","A06",1,"S1","C01","Z04","02","1867.406","Parenchyma","XM","w"
"166","A","A06",1,"S1","C01","Z04","02","1873.55","Parenchyma","XM","w"
"167","A","A06",1,"S1","C01","Z04","02","1882.153","Parenchyma","XM","w"
"168","A","A06",1,"S1","C01","Z04","02","1893.958","Parenchyma","XM","w"
"169","A","A06",1,"S1","C01","Z04","02","893.126","Parenchyma","XM","w"
"170","A","A06",1,"S1","C01","Z04","02","921.028","Parenchyma","XM","w"
"171","A","A06",1,"S1","C01","Z04","02","954.809","Parenchyma","XM","w"
"172","A","A06",1,"S1","C01","Z04","02","984.517","Parenchyma","XM","w"
"173","A","A06",1,"S1","C01","Z04","02","1023.579","Parenchyma","XM","w"
"174","A","A06",1,"S1","C01","Z04","02","1057.108","Parenchyma","XM","w"
"175","A","A06",1,"S1","C01","Z04","02","1085.962","Parenchyma","XM","w"
"176","A","A06",1,"S1","C01","Z04","02","1114.933","Parenchyma","XM","w"
"177","A","A06",1,"S1","C01","Z04","02","1159.236","Parenchyma","XM","w"
"178","A","A06",1,"S1","C01","Z04","02","1188.939","Parenchyma","XM","w"
"179","A","A06",1,"S1","C01","Z04","02","1216.369","Parenchyma","XM","w"
"180","A","A06",1,"S1","C01","Z04","02","1243.729","Parenchyma","XM","w"
"181","A","A06",1,"S1","C01","Z04","02","1278.873","Parenchyma","XM","w"
"182","A","A06",1,"S1","C01","Z04","02","1307.064","Parenchyma","XM","w"
"183","A","A06",1,"S1","C01","Z04","02","1343.908","Parenchyma","XM","w"
"184","A","A06",1,"S1","C01","Z04","02","1379.332","Parenchyma","XM","w"
"185","A","A06",1,"S1","C01","Z04","02","1407.704","Parenchyma","XM","w"
"186","A","A06",1,"S1","C01","Z04","02","1233.792","Parenchyma","YM","w"
"187","A","A06",1,"S1","C01","Z04","02","1261.064","Parenchyma","YM","w"
"188","A","A06",1,"S1","C01","Z04","02","1288.985","Parenchyma","YM","w"
"189","A","A06",1,"S1","C01","Z04","02","1318.623","Parenchyma","YM","w"
"190","A","A06",1,"S1","C01","Z04","02","1345.975","Parenchyma","YM","w"
"191","A","A06",1,"S1","C01","Z04","02","1369.476","Parenchyma","YM","w"
"192","A","A06",1,"S1","C01","Z04","02","1392.399","Parenchyma","YM","w"
"193","A","A06",1,"S1","C01","Z04","02","1407.285","Parenchyma","YM","w"
"194","A","A06",1,"S1","C01","Z04","02","1423.342","Parenchyma","YM","w"
"195","A","A06",1,"S1","C01","Z04","02","1439.704","Parenchyma","YM","w"
"196","A","A06",1,"S1","C01","Z04","02","1454.573","Parenchyma","YM","w"
"197","A","A06",1,"S1","C01","Z04","02","712.013","Parenchyma","YM","w"
"198","A","A06",1,"S1","C01","Z04","02","709.315","Parenchyma","YM","w"
"199","A","A06",1,"S1","C01","Z04","02","708.004","Parenchyma","YM","w"
"200","A","A06",1,"S1","C01","Z04","02","707.847","Parenchyma","YM","w"
"201","A","A06",1,"S1","C01","Z04","02","722.136","Parenchyma","YM","w"
"202","A","A06",1,"S1","C01","Z04","02","720.709","Parenchyma","YM","w"
"203","A","A06",1,"S1","C01","Z04","02","715.384","Parenchyma","YM","w"
"204","A","A06",1,"S1","C01","Z04","02","713.845","Parenchyma","YM","w"
"205","A","A06",1,"S1","C01","Z04","02","706.437","Parenchyma","YM","w"
"206","A","A06",1,"S1","C01","Z04","02","704.1","Parenchyma","YM","w"
"207","A","A06",1,"S1","C01","Z04","02","706.377","Parenchyma","YM","w"
"208","A","A06",1,"S1","C01","Z04","02","708.643","Parenchyma","YM","w"
"209","A","A06",1,"S1","C01","Z04","02","710.706","Parenchyma","YM","w"
"210","A","A06",1,"S1","C01","Z04","02","718.611","Parenchyma","YM","w"
"211","A","A06",1,"S1","C01","Z04","02","717.937","Parenchyma","YM","w"
"212","A","A06",1,"S1","C01","Z04","02","713.014","Parenchyma","YM","w"
"213","A","A06",1,"S1","C01","Z04","02","718.578","Parenchyma","YM","w"
"214","A","A06",1,"S1","C01","Z04","02","2698788.343","Stele","area","w"
"215","A","A06",1,"S1","C01","Z04","02","1442.838","Stele","XM","w"
"216","A","A06",1,"S1","C01","Z04","02","811.933","Stele","YM","w"
"217","A","A06",1,"S1","C01","Z04","02","13044.457","Cortex","area","w"
"218","A","A06",1,"S1","C01","Z04","02","15074.997","Cortex","area","w"
"219","A","A06",1,"S1","C01","Z04","02","23413.36","Cortex","area","w"
"220","A","A06",1,"S1","C01","Z04","02","20793.658","Cortex","area","w"
"221","A","A06",1,"S1","C01","Z04","02","501.901","Cortex","XM","w"
"222","A","A06",1,"S1","C01","Z04","02","572.491","Cortex","XM","w"
"223","A","A06",1,"S1","C01","Z04","02","666.052","Cortex","XM","w"
"224","A","A06",1,"S1","C01","Z04","02","713.553","Cortex","XM","w"
"225","A","A06",1,"S1","C01","Z04","02","1667.547","Cortex","YM","w"
"226","A","A06",1,"S1","C01","Z04","02","1650.941","Cortex","YM","w"
"227","A","A06",1,"S1","C01","Z04","02","1621.169","Cortex","YM","w"
"228","A","A06",1,"S1","C01","Z04","02","1519.382","Cortex","YM","w"
"229","A","A06",1,"S1","C01","Z04","02","79.274","Cortex","length","w"
"230","A","A06",1,"S1","C01","Z04","02","78.268","Cortex","length","w"
"231","A","A06",1,"S1","C01","Z04","02","87.403","Cortex","length","w"
"232","A","A06",1,"S1","C01","Z04","02","102.445","Cortex","length","w"
"233","A","A06",1,"S1","C01","Z04","02","1906.22","Pericycle","area","w"
"234","A","A06",1,"S1","C01","Z04","02","4680.87","Pericycle","area","w"
"235","A","A06",1,"S1","C01","Z04","02","4237.647","Pericycle","area","w"
"236","A","A06",1,"S1","C01","Z04","02","2652.133","Pericycle","area","w"
"237","A","A06",1,"S1","C01","Z04","02","3396.243","Pericycle","area","w"
"238","A","A06",1,"S1","C01","Z04","02","4210.621","Pericycle","area","w"
"239","A","A06",1,"S1","C01","Z04","02","631.341","Pericycle","XM","w"
"240","A","A06",1,"S1","C01","Z04","02","673.077","Pericycle","XM","w"
"241","A","A06",1,"S1","C01","Z04","02","744.976","Pericycle","XM","w"
"242","A","A06",1,"S1","C01","Z04","02","978.909","Pericycle","XM","w"
"243","A","A06",1,"S1","C01","Z04","02","1472.856","Pericycle","XM","w"
"244","A","A06",1,"S1","C01","Z04","02","1861.08","Pericycle","XM","w"
"245","A","A06",1,"S1","C01","Z04","02","998.582","Pericycle","YM","w"
"246","A","A06",1,"S1","C01","Z04","02","1126.014","Pericycle","YM","w"
"247","A","A06",1,"S1","C01","Z04","02","1289.82","Pericycle","YM","w"
"248","A","A06",1,"S1","C01","Z04","02","1529.008","Pericycle","YM","w"
"249","A","A06",1,"S1","C01","Z04","02","1781.667","Pericycle","YM","w"
"250","A","A06",1,"S1","C01","Z04","02","1679.016","Pericycle","YM","w"
"251","A","A06",1,"S1","C01","Z04","02","35.437","Pericycle","length","w"
"252","A","A06",1,"S1","C01","Z04","02","33.016","Pericycle","length","w"
"253","A","A06",1,"S1","C01","Z04","02","32.438","Pericycle","length","w"
"254","A","A06",1,"S1","C01","Z04","02","32.326","Pericycle","length","w"
"255","A","A06",1,"S1","C01","Z04","02","41.611","Pericycle","length","w"
"256","A","A06",1,"S1","C01","Z04","02","32.465","Pericycle","length","w"
"257","A","A06",1,"S1","C01","Z04","02","10857.169","Endodermis","area","w"
"258","A","A06",1,"S1","C01","Z04","02","8473.492","Endodermis","area","w"
"259","A","A06",1,"S1","C01","Z04","02","9977.929","Endodermis","area","w"
"260","A","A06",1,"S1","C01","Z04","02","8599.613","Endodermis","area","w"
"261","A","A06",1,"S1","C01","Z04","02","10489.618","Endodermis","area","w"
"262","A","A06",1,"S1","C01","Z04","02","14357.912","Endodermis","area","w"
"263","A","A06",1,"S1","C01","Z04","02","11833.701","Endodermis","area","w"
"264","A","A06",1,"S1","C01","Z04","02","27373.542","Endodermis","area","w"
"265","A","A06",1,"S1","C01","Z04","02","12675.105","Endodermis","area","w"
"266","A","A06",1,"S1","C01","Z04","02","19110.851","Endodermis","area","w"
"267","A","A06",1,"S1","C01","Z04","02","653.024","Endodermis","XM","w"
"268","A","A06",1,"S1","C01","Z04","02","714.306","Endodermis","XM","w"
"269","A","A06",1,"S1","C01","Z04","02","802.559","Endodermis","XM","w"
"270","A","A06",1,"S1","C01","Z04","02","931.993","Endodermis","XM","w"
"271","A","A06",1,"S1","C01","Z04","02","1109.076","Endodermis","XM","w"
"272","A","A06",1,"S1","C01","Z04","02","1328.76","Endodermis","XM","w"
"273","A","A06",1,"S1","C01","Z04","02","1958.345","Endodermis","XM","w"
"274","A","A06",1,"S1","C01","Z04","02","2280.845","Endodermis","XM","w"
"275","A","A06",1,"S1","C01","Z04","02","2538.172","Endodermis","XM","w"
"276","A","A06",1,"S1","C01","Z04","02","2570.328","Endodermis","XM","w"
"277","A","A06",1,"S1","C01","Z04","02","1231.863","Endodermis","YM","w"
"278","A","A06",1,"S1","C01","Z04","02","1350.574","Endodermis","YM","w"
"279","A","A06",1,"S1","C01","Z04","02","1448.461","Endodermis","YM","w"
"280","A","A06",1,"S1","C01","Z04","02","1549.643","Endodermis","YM","w"
"281","A","A06",1,"S1","C01","Z04","02","1693.82","Endodermis","YM","w"
"282","A","A06",1,"S1","C01","Z04","02","1791.203","Endodermis","YM","w"
"283","A","A06",1,"S1","C01","Z04","02","1688.704","Endodermis","YM","w"
"284","A","A06",1,"S1","C01","Z04","02","1444.001","Endodermis","YM","w"
"285","A","A06",1,"S1","C01","Z04","02","1050.439","Endodermis","YM","w"
"286","A","A06",1,"S1","C01","Z04","02","638.03","Endodermis","YM","w"
"287","A","A06",1,"S1","C01","Z04","02","71.482","Endodermis","length","w"
"288","A","A06",1,"S1","C01","Z04","02","79.24","Endodermis","length","w"
"289","A","A06",1,"S1","C01","Z04","02","61.011","Endodermis","length","w"
"290","A","A06",1,"S1","C01","Z04","02","72.234","Endodermis","length","w"
"291","A","A06",1,"S1","C01","Z04","02","67.875","Endodermis","length","w"
"292","A","A06",1,"S1","C01","Z04","02","77.481","Endodermis","length","w"
"293","A","A06",1,"S1","C01","Z04","02","80.582","Endodermis","length","w"
"294","A","A06",1,"S1","C01","Z04","02","103.138","Endodermis","length","w"
"295","A","A06",1,"S1","C01","Z04","02","84.008","Endodermis","length","w"
"296","A","A06",1,"S1","C01","Z04","02","82.154","Endodermis","length","w"
"297","A","A06",1,"S1","C01","Z04","02","13044.457","Epidermis","area","w"
"298","A","A06",1,"S1","C01","Z04","02","15074.997","Epidermis","area","w"
"299","A","A06",1,"S1","C01","Z04","02","23413.36","Epidermis","area","w"
"300","A","A06",1,"S1","C01","Z04","02","20793.658","Epidermis","area","w"
"301","A","A06",1,"S1","C01","Z04","02","501.901","Epidermis","XM","w"
"302","A","A06",1,"S1","C01","Z04","02","572.491","Epidermis","XM","w"
"303","A","A06",1,"S1","C01","Z04","02","666.052","Epidermis","XM","w"
"304","A","A06",1,"S1","C01","Z04","02","713.553","Epidermis","XM","w"
"305","A","A06",1,"S1","C01","Z04","02","1667.547","Epidermis","YM","w"
"306","A","A06",1,"S1","C01","Z04","02","1650.941","Epidermis","YM","w"
"307","A","A06",1,"S1","C01","Z04","02","1621.169","Epidermis","YM","w"
"308","A","A06",1,"S1","C01","Z04","02","1519.382","Epidermis","YM","w"
"309","A","A06",1,"S1","C01","Z04","02","79.274","Epidermis","length","w"
"310","A","A06",1,"S1","C01","Z04","02","78.268","Epidermis","length","w"
"311","A","A06",1,"S1","C01","Z04","02","87.403","Epidermis","length","w"
"312","A","A06",1,"S1","C01","Z04","02","102.445","Epidermis","length","w"
"313","A","A06",1,"S1","C01","Z04","02","13044.457","Exodermis","area","w"
"314","A","A06",1,"S1","C01","Z04","02","15074.997","Exodermis","area","w"
"315","A","A06",1,"S1","C01","Z04","02","23413.36","Exodermis","area","w"
"316","A","A06",1,"S1","C01","Z04","02","20793.658","Exodermis","area","w"
"317","A","A06",1,"S1","C01","Z04","02","501.901","Exodermis","XM","w"
"318","A","A06",1,"S1","C01","Z04","02","572.491","Exodermis","XM","w"
"319","A","A06",1,"S1","C01","Z04","02","666.052","Exodermis","XM","w"
"320","A","A06",1,"S1","C01","Z04","02","713.553","Exodermis","XM","w"
"321","A","A06",1,"S1","C01","Z04","02","1667.547","Exodermis","YM","w"
"322","A","A06",1,"S1","C01","Z04","02","1650.941","Exodermis","YM","w"
"323","A","A06",1,"S1","C01","Z04","02","1621.169","Exodermis","YM","w"
"324","A","A06",1,"S1","C01","Z04","02","1519.382","Exodermis","YM","w"
"325","A","A06",1,"S1","C01","Z04","02","79.274","Exodermis","length","w"
"326","A","A06",1,"S1","C01","Z04","02","78.268","Exodermis","length","w"
"327","A","A06",1,"S1","C01","Z04","02","87.403","Exodermis","length","w"
"328","A","A06",1,"S1","C01","Z04","02","102.445","Exodermis","length","w"
"329","A","A06",1,"S1","C01","Z04","02","922.481","Phloem","area","w"
"330","A","A06",1,"S1","C01","Z04","02","861.222","Phloem","area","w"
"331","A","A06",1,"S1","C01","Z04","02","625.197","Phloem","area","w"
"332","A","A06",1,"S1","C01","Z04","02","421.603","Phloem","area","w"
"333","A","A06",1,"S1","C01","Z04","02","317.103","Phloem","area","w"
"334","A","A06",1,"S1","C01","Z04","02","335.12","Phloem","area","w"
"335","A","A06",1,"S1","C01","Z04","02","1425.161","Phloem","area","w"
"336","A","A06",1,"S1","C01","Z04","02","700.869","Phloem","area","w"
"337","A","A06",1,"S1","C01","Z04","02","390.973","Phloem","area","w"
"338","A","A06",1,"S1","C01","Z04","02","272.06","Phloem","area","w"
"339","A","A06",1,"S1","C01","Z04","02","704.538","Phloem","XM","w"
"340","A","A06",1,"S1","C01","Z04","02","743.96","Phloem","XM","w"
"341","A","A06",1,"S1","C01","Z04","02","745.682","Phloem","XM","w"
"342","A","A06",1,"S1","C01","Z04","02","766.582","Phloem","XM","w"
"343","A","A06",1,"S1","C01","Z04","02","789.023","Phloem","XM","w"
"344","A","A06",1,"S1","C01","Z04","02","799.736","Phloem","XM","w"
"345","A","A06",1,"S1","C01","Z04","02","658.984","Phloem","XM","w"
"346","A","A06",1,"S1","C01","Z04","02","692.429","Phloem","XM","w"
"347","A","A06",1,"S1","C01","Z04","02","704.563","Phloem","XM","w"
"348","A","A06",1,"S1","C01","Z04","02","724.86","Phloem","XM","w"
"349","A","A06",1,"S1","C01","Z04","02","947.56","Phloem","YM","w"
"350","A","A06",1,"S1","C01","Z04","02","972.119","Phloem","YM","w"
"351","A","A06",1,"S1","C01","Z04","02","935.37","Phloem","YM","w"
"352","A","A06",1,"S1","C01","Z04","02","933.546","Phloem","YM","w"
"353","A","A06",1,"S1","C01","Z04","02","929.392","Phloem","YM","w"
"354","A","A06",1,"S1","C01","Z04","02","910.72","Phloem","YM","w"
"355","A","A06",1,"S1","C01","Z04","02","599.452","Phloem","YM","w"
"356","A","A06",1,"S1","C01","Z04","02","577.849","Phloem","YM","w"
"357","A","A06",1,"S1","C01","Z04","02","602.341","Phloem","YM","w"
"358","A","A06",1,"S1","C01","Z04","02","600.976","Phloem","YM","w"
"359","A","A06",1,"S1","C01","Z04","02","17.1360287818637","Phloem","length","w"
